stage,max_ma,mid_ma,min_ma,level,raw,rt,rf_max,rf_median,rf_min,squares,qD,qD_LCL,qD_UCL,RM_resid,RM_sdlower,RM_sdupper
Asselian,298.9,296.21,293.52,genera,212,212,185,157.5,118,295.4745964663453,126.08470279084112,115.1495100757554,137.01989550592685,14.534427904298951,69.38128126964077,-40.312425461042864
Asselian,298.9,296.21,293.52,species,465,465,367,293,189,928.0867893364092,512.8870813397052,461.4201603731961,564.3540023062144,-45.76346640104208,122.09673483513387,-213.62366763721798
Sakmarian,293.52,291.81,290.1,genera,236,292,170,129.5,102,290.3757022036346,132.3098667334082,124.52968910305349,140.09004436376293,-97.42547419438046,-42.57862082903864,-152.27232755972227
Sakmarian,293.52,291.81,290.1,species,548,648,316,227.5,176,914.7088836620228,594.498918529211,549.2182199735793,639.7796170848427,-454.65680790744,-286.79660667126404,-622.517009143616
Artinskian,290.1,286.8,283.5,genera,299,372,203,153.5,115,410.1363919362803,154.5515869069706,144.5977851093655,164.50538870457572,-47.37403629901655,7.472817066325263,-102.22088966435837
Artinskian,290.1,286.8,283.5,species,729,871,381,265,172,1483.8448251132104,736.6001904761922,683.934732350027,789.2656486023574,-320.5037928128113,-152.64359157663534,-488.36399404898725
Kungurian,283.5,278.225,272.95,genera,366,510,241,197,163,451.8062997691785,156.0134963953381,150.146330490574,161.88066230010222,42.28594738409669,97.1328007494385,-12.560905981245128
Kungurian,283.5,278.225,272.95,species,1089,1821,531,403.5,305,1857.303078919737,777.469187808477,747.542246899955,807.3961287169991,121.47843077158848,289.33863200776443,-46.38177046458759
Roadian,272.95,270.875,268.8,genera,326,417,236,194,153,391.67705231295895,147.7259396558211,140.8536450599148,154.59823425172738,60.55447685495926,115.40133022030108,5.707623489617447
Roadian,272.95,270.875,268.8,species,940,1133,574,427,290,1350.8753084063924,762.3372573080305,726.9427630153613,797.7317516006998,183.289862845759,351.15006408193494,15.429661609583036
Wordian,268.8,266.95,265.1,genera,330,484,233,197.5,155,401.40659245438906,165.86648723425674,159.6215092307486,172.11146523776486,38.65735264568701,93.50420601102883,-16.189500719654802
Wordian,268.8,266.95,265.1,species,1068,1727,574,422,276,1640.1996920178603,1002.0721511371448,939.8948026805962,1064.2494995936934,217.5958930350165,385.45609427119246,49.73569179884055
Capitanian,265.1,262.1,259.1,genera,266,501,212,168,143,344.2179122360342,129.07810543976328,121.02645095674436,137.12975992278217,65.29728737813994,120.14414074348176,10.450434012798127
Capitanian,265.1,262.1,259.1,species,697,2029,476,331.5,259,1361.2737423428675,653.6994388121054,599.5934341185439,707.805443505667,174.52478737261515,342.3849886087911,6.664586136439198
Wuchiapingian,259.1,256.62,254.14,genera,277,309,176,151,116,323.7313031272424,102.15118741395858,98.49256263971108,105.80981218820608,-27.29120945894914,27.555643906392675,-82.13806282429096
Wuchiapingian,259.1,256.62,254.14,species,919,1002,429,332,230,1386.5481584089405,489.0744575990194,468.9101129824674,509.2388022155714,21.748908129645315,189.60910936582127,-146.11129310653064
Changhsingian,254.14,253.021,251.902,genera,236,240,197,166,138,262.2516934223259,110.6152708627716,105.52395861932028,115.70658310622294,41.77156843045799,96.6184217957998,-13.075284934883825
Changhsingian,254.14,253.021,251.902,species,740,742,484,403.5,296,1073.1502991970797,558.6474643469421,526.4093472362068,590.8855814576774,240.94827982530074,408.8084810614767,73.08807858912473
Induan,251.902,251.551,251.2,genera,33,37,33,32,27,41.70028581117086,17.519875045308083,15.030677160332353,20.00907293028381,-38.21709157549873,16.629761789843094,-93.06394494084054
Induan,251.902,251.551,251.2,species,60,61,60,58,45,102.64020525203742,45.40948609583248,29.798012433145736,61.02095975851923,5.994636426327411,173.85483766250337,-161.86556480984854
Olenekian,251.2,249.2,247.2,genera,27,35,27,27,27,40.687840290381125,14.346392144645112,11.208790220608863,17.483994068681362,-31.268529470862603,23.57832389447922,-86.11538283620442
Olenekian,251.2,249.2,247.2,species,37,39,37,37,37,77.71450239178625,27.36118264831485,13.689565867146827,41.03279942948288,29.84162133169864,197.7018225678746,-138.01857990447732
Anisian,247.2,244.6,242,genera,95,99,83,64,45,112.59568940324976,45.403914601663935,41.815900191008765,48.99192901231911,-76.56844788642877,-21.721594521086956,-131.4153012517706
Anisian,247.2,244.6,242,species,225,226,159,118.5,81,434.13154145353576,158.11366717228776,142.49485791666115,173.73247642791438,-192.0694965902996,-24.20929535412364,-359.9296978264756
Ladinian,242,239.5,237,genera,62,62,58,46,32,197.6428638316911,33.46688379796326,26.203178769753208,40.73058882617332,-15.691372627816804,39.15548073752502,-70.53822599315862
Ladinian,242,239.5,237,species,95,95,85,64.5,42,628.9701596491419,98.04343339587273,66.11019468962229,129.97667210212313,17.571143973641796,185.43134520981775,-150.28905726253416
