stage,mid_ma,level,raw,rt,rf,squares,sqs,DeepDive
Asselian,296.21,genera,11.32,37.74,-17.78,-1.73,4.94,-0.24
Asselian,296.21,species,17.85,39.35,-22.35,-1.44,15.91,14.23
Sakmarian,291.81,genera,26.69,27.4,18.53,41.24,16.81,29.15
Sakmarian,291.81,species,33.03,34.41,16.48,62.22,23.9,23.08
Artinskian,286.8,genera,22.41,37.1,28.34,10.16,0.95,27.58
Artinskian,286.8,species,49.38,109.07,52.26,25.17,5.55,33.58
Kungurian,278.225,genera,-10.93,-18.24,-1.52,-13.31,-5.31,18.78
Kungurian,278.225,species,-13.68,-37.78,5.82,-27.27,-1.95,14.94
Roadian,270.875,genera,1.23,16.07,1.8,2.48,12.28,-18.46
Roadian,270.875,species,13.62,52.43,-1.17,21.42,31.45,-11.1
Wordian,266.95,genera,-19.39,3.51,-14.94,-14.25,-22.18,-30.12
Wordian,266.95,species,-34.74,17.49,-21.45,-17.01,-34.77,-28.24
Capitanian,262.1,genera,4.14,-38.32,-10.12,-5.95,-20.86,-26.89
Capitanian,262.1,species,31.85,-50.62,0.15,1.86,-25.18,-17.5
Wuchiapingian,256.62,genera,-14.8,-22.33,9.93,-18.99,8.29,-32.12
Wuchiapingian,256.62,species,-19.48,-25.95,21.54,-22.6,14.23,-15.95
Changhsingian,253.021,genera,-86.02,-84.58,-80.72,-84.1,-84.16,-83.99
Changhsingian,253.021,species,-91.89,-91.78,-85.63,-90.44,-91.87,-82.37
Induan,251.551,genera,-18.18,-5.41,-15.62,-2.43,-18.11,7.74
Induan,251.551,species,-38.33,-36.07,-36.21,-24.28,-39.75,1.61
Olenekian,249.2,genera,251.85,182.86,137.04,176.73,216.48,81.61
Olenekian,249.2,species,508.11,479.49,220.27,458.62,477.88,80.7
Anisian,244.6,genera,-34.74,-37.37,-28.12,75.53,-26.29,-47.93
Anisian,244.6,species,-57.78,-57.96,-45.57,44.88,-37.99,-53.11
Ladinian,239.5,genera,NA,NA,NA,NA,NA,NA
Ladinian,239.5,species,NA,NA,NA,NA,NA,NA
