"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&interval=Permian,Ladinian&private"
"Access Time","Fri 2024-10-25 09:23:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","interval","Permian,Ladinian"
"","timerule","major"
"","private","1"
"Elapsed Time","3.12"
"Records Found","3667"
"Records Returned","3667"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","","","""carbonate"",""carbonate""/""limestone"",""carbonate""/mudstone,""limestone"",""limestone""/""carbonate"",""limestone""/""shale"",""limestone""/""volcaniclastic"",""limestone""/breccia,""limestone""/chert,""limestone""/conglomerate,""limestone""/dolomite,""limestone""/grainstone,""limestone""/marl,""limestone""/rudstone,""limestone""/sandstone,""limestone""/siltstone,""limestone""/tuff,""mixed carbonate-siliciclastic"",""mixed carbonate-siliciclastic""/""siliciclastic"",""mixed carbonate-siliciclastic""/sandstone,""reef rocks"",""reef rocks""/rudstone,""reef rocks""/wackestone,""shale"",""shale""/""limestone"",""shale""/bituminous coal,""shale""/marl,""shale""/phosphorite,""shale""/sandstone,""shale""/siltstone,""siliciclastic"",""siliciclastic""/""carbonate"",""siliciclastic""/""limestone"",""siliciclastic""/evaporite,""siliciclastic""/marl,bafflestone,bafflestone/""reef rocks"",bafflestone/wackestone,bindstone,bindstone/packstone,breccia,chert,chert/""shale"",chert/claystone,chert/mudstone,claystone,claystone/conglomerate,claystone/evaporite,claystone/sandstone,claystone/siltstone,coal/""shale"",conglomerate,conglomerate/""limestone"",conglomerate/sandstone,dolomite,dolomite/""limestone"",floatstone,framestone,framestone/bafflestone,grainstone,grainstone/packstone,lime mudstone,lime mudstone/dolomite,lime mudstone/framestone,lime mudstone/marl,lime mudstone/mudstone,lime mudstone/wackestone,marl,marl/""carbonate"",marl/""limestone"",marl/""siliciclastic"",marl/claystone,marl/sandstone,mudstone,mudstone/""limestone"",mudstone/chert,mudstone/claystone,mudstone/marl,mudstone/sandstone,mudstone/siltstone,packstone,packstone/floatstone,packstone/grainstone,packstone/lime mudstone,packstone/mudstone,packstone/rudstone,packstone/wackestone,phosphorite/siltstone,quartzite,radiolarite,rudstone,sandstone,sandstone/""limestone"",sandstone/""mixed carbonate-siliciclastic"",sandstone/""shale"",sandstone/breccia,sandstone/claystone,sandstone/conglomerate,sandstone/grainstone,sandstone/marl,sandstone/mudstone,sandstone/siltstone,sandstone/slate,siltstone,siltstone/""limestone"",siltstone/""shale"",siltstone/claystone,siltstone/marl,siltstone/mudstone,siltstone/sandstone,slate,slate/claystone,slate/sandstone,tuff,tuff/""shale"",tuff/chert,wackestone,wackestone/""limestone"",wackestone/packstone","239.7","201.4","AA,AE,AF,AL,AM,AR,AT,AU,AZ,BA,BG,BO,BR,CA,CH,CL,CN,CO,CU,CZ,DE,EG,ES,FR,GL,GR,GT,HR,HU,ID,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KP,KR,KZ,LA,MA,MG,MM,MN,MX,MY,MZ,NA,NE,NO,NP,NZ,OM,PE,PG,PK,PL,RO,RS,RU,SI,SJ,SK,SY,TH,TJ,TL,TN,TR,TZ,UA,UK,US,VN,YE,ZA,ZM,ZW","6804","34927"
"str","","","Bhurungia Seam","","259.51","251.902","IN","1","1"
"str","","","Calcari a Scogliera","""limestone""","242","237","IT","1","2"
"str","","","Cipitkalken","""limestone""","242","237","IT","1","9"
"str","","","Crinoiden-kalk","grainstone","244.7","243.8","AT","1","50"
"str","","","Crinoidenkalk","""limestone""","247.2","242","IT","1","7"
"str","","","Daonellenkalk","""limestone""","242","237","IT","2","25"
"str","","","Daonellenschiefer","""shale""","242","237","IT","1","8"
"str","","","Dishergarh","coal","259.51","251.902","IN","1","1"
"str","","","Dobrana","","259.51","251.902","IN","1","1"
"str","","","Erehwon Beds","","273.01","251.902","AA","1","4"
"str","","","Fürederkalk","""limestone""","242","237","HU","1","9"
"str","","","Halobia Limestone","""limestone"",marl,tuff","243.8","239.7","ID","3","7"
"str","","","Hilton Plant Series","marl/sandstone","254.14","251.902","UK","1","18"
"str","","","Kenkolskaya","""reef rocks""","242","237","TJ","1","9"
"str","","","Kumarpur","sandstone","259.51","251.902","IN","1","6"
"str","","","Marahoma","","298.9","251.902","IN","1","14"
"str","","","Mergelkalk","marl","247.2","237","IT","1","4"
"str","","","Myoconcha-Lumachelle","""limestone""","242","237","HU","1","3"
"str","","","Nishatbagh","","298.9","273.01","IN","1","9"
"str","","","Retford Conglomerate-Breccia","conglomerate","247.2","242","NZ","2","2"
"str","","","Tesero Horizon","lime mudstone","254.14","251.902","IT","9","24"
"str","","","Transition Beds","""limestone""/ash","245.5","244.7","CN","1","3"
"str","","","Tumlin Sandstone","sandstone","251.902","247.2","PL","2","15"
"str","","","Vihi","""shale""","298.9","290.1","IN","1","15"
"str","","""Amushan""","","""limestone""","273.01","266.9","CN","5","16"
"str","","""Bituminous Limestone""","","packstone,wackestone","254.14","251.902","RS","9","67"
"str","","""Fossiliferous Limestone""","","""limestone""","247.2","227","TH","1","1"
"str","","""Gufeng""","","chert,chert/mudstone","259.51","254.14","CN","7","118"
"str","","""Gymnocodiacean Limestone""","","""limestone""/marl,bafflestone/bindstone","273.01","266.9","GR","2","6"
"str","","""Kufeng""","","""shale"",""siliciclastic""","264.28","259.51","CN","3","6"
"str","","""Shihtienfeng""","","","251.902","247.2","CN","1","1"
"str","","'Arqov","","""limestone""","251.902","251.2","IL","26","117"
"str","","'Fifth'","","sandstone/conglomerate","264.28","259.51","RU","1","9"
"str","","'First'","","""shale"",siltstone","266.9","264.28","RU","2","14"
"str","","'Fourth'","","siltstone/sandstone","264.28","259.51","RU","1","13"
"str","","'Second'","","""carbonate""/siltstone","266.9","264.28","RU","1","19"
"str","","'Third'","","sandstone/siltstone","266.9","264.28","RU","1","31"
"str","","(?) Malokinelskaya","","sandstone","266.9","256.8","RU","1","1"
"str","","Abadeh","","""limestone"",marl/""limestone""","264.28","259.51","IR","3","4"
"str","","Abadeh","Unit 3","""limestone""","266.9","264.28","IR","1","9"
"str","","Abadeh","Unit 4","""limestone"",""shale""/""limestone""","264.28","259.51","IR","6","22"
"str","","Abadeh","Unit 5","""limestone""","259.51","254.14","IR","2","7"
"str","","Abels Bay","","""siliciclastic"",siltstone","259.51","254.14","AU","2","22"
"str","","Ablakoskövölgy Limestone","Ablakoskövölgy Sandstone","sandstone/""limestone""","251.4","248.9","HU","1","5"
"str","","Ablakoskövölgy Limestone","Lillafüred Limestone","""limestone""/marl","248.9","247.2","HU","1","3"
"str","","Ablakoskövölgy Limestone","Savosvölgy Marl","marl/mudstone","248.9","247.2","HU","1","6"
"str","","Ablakoskövölgy Limestone","Ujmassa Limestone","""limestone""","248.9","247.2","HU","1","4"
"str","","Abo","","mudstone,sandstone,sandstone/siltstone,siltstone/sandstone","283.5","259.51","US","10","51"
"str","","Abo","Lower","","283.5","259.51","US","2","7"
"str","","Abo","Upper","","283.5","259.51","US","1","2"
"str","","Abo/Cutler","","""shale""/sandstone,claystone/sandstone,sandstone/conglomerate,siltstone,siltstone/sandstone","298.9","286.1","US","13","48"
"str","","Abor Volcanics","","","298.9","273.01","IN","1","1"
"str","","Above Yard Coal","","""shale""","264.28","259.51","AU","1","1"
"str","","Abrahamskraal","","mudstone/sandstone","273.01","259.51","ZA","1","1"
"str","","Abrahamskraal","Grootfontein","","264.28","259.51","ZA","1","1"
"str","","Abrekskaya Suite","","","290.1","266.9","RU","1","8"
"str","","Acheshbok","","""carbonate""","244.7","243.8","RU","27","82"
"str","","Adatsag","","""limestone""","290.1","283.5","MN","1","10"
"str","","Adatsag","Lower","""siliciclastic""","293.52","290.1","MN","2","13"
"str","","Adatsag","Upper","""siliciclastic""","290.1","283.5","MN","1","5"
"str","","Admiral","","""limestone""","290.1","283.5","US","2","3"
"str","","Admiral","Elm Creek","""limestone"",""siliciclastic""","290.1","283.5","US","3","21"
"str","","Admiral","Hords Creek","""limestone""","290.1","283.5","US","1","3"
"str","","Admiral","Wildcat Creek","""shale"",lime mudstone/""shale""","290.1","283.5","US","6","36"
"str","","Admiralty","","","251.2","247.2","RU","1","1"
"str","","Adz'va","","""siliciclastic""","283.5","273.01","RU","9","18"
"str","","AG4","","","259.51","254.14","NZ","1","2"
"str","","Agabyt","","""siliciclastic""","242","239.7","RU","2","2"
"str","","Agate Creek Volcanics","","","293.52","290.1","AU","1","7"
"str","","Agglomeratic Slate","","""shale"",sandstone,sandstone/conglomerate","293.52","290.1","IN","14","99"
"str","","Agitkan","","""siliciclastic""","247.2","245.5","RU","1","1"
"str","","Agui-Ula","","","298.9","293.52","MN","1","5"
"str","","Aiduna","","sandstone/siltstone","273.01","266.9","ID","5","43"
"str","","Aifat","","""shale"",mudstone,sandstone,siltstone","283.5","273.01","ID","7","27"
"str","","Aimau","","mudstone","283.5","273.01","ID","1","2"
"str","","Aitutu","","lime mudstone,packstone","242","239.7","ID","5","133"
"str","","Ajima","","mudstone","254.14","251.902","JP","1","9"
"str","","Akachan","","""siliciclastic""","293.52","290.1","RU","16","19"
"str","","Akasaka","","""limestone"",lime mudstone,mudstone,packstone","259.51","254.14","JP","173","885"
"str","","Akasaka","Middle","""limestone""","266.9","264.28","JP","1","1"
"str","","Akasaka Limestone","","""limestone""","298.9","251.902","JP","1","2"
"str","","Akasaka Limestone","Upper","wackestone","264.28","259.51","JP","1","3"
"str","","Akhmatov","Lower","","303.7","293.52","RU","1","4"
"str","","Akhmatov","Upper","","283.5","266.9","RU","1","6"
"str","","Akhura","","""limestone"",""mixed carbonate-siliciclastic"",""shale"",claystone,mudstone","254.14","251.902","AM,AZ","110","821"
"str","","Akiyoshi","","""limestone"",""limestone""/packstone","273.01","259.51","JP","5","41"
"str","","Akkolka","","mudstone","254.14","251.902","KZ","3","47"
"str","","Aktasty","","""limestone"",sandstone","290.1","283.5","KZ,RU","11","115"
